transacao_id,idade_usuario,categoria_produto,meio_pagamento,tipo_dispositivo,valor_transacao,tempo_sessao_segundos,tentativas_senha_bloqueadas,distancia_km_cadastro,compras_ultimos_30d,ruido_latencia_ms,pin_autenticacao_app,dispositivo_fingerprint_hash,transacao_fraudulenta
TRX-50000,45.2,Eletronicos,Pix,SmartTV,360.04,1173.9,0,14.1,1,45.6,156,DEV-40FE0,0
TRX-50001,54.7,Eletronicos,Boleto,Mobile,509.29,1763.6,0,459.8,2,19.37,829,DEV-6CC47,0
TRX-50002,42.4,Eletronicos,Pix,Mobile,271.17,1084.9,0,277.2,2,25.67,270,DEV-410EF,0
TRX-50003,33.2,eletronicos,Voucher,Mobile,2463.87,478.7,1,72.9,5,115.41,750,DEV-4EDB8,0
TRX-50004,26.0, ELETRONICOS ,Boleto,Desktop,638.21,1302.7,0,25.2,4,11.35,834,DEV-1DABC,0
TRX-50005,29.8,Beleza,Boleto,Mobile,272.98,196.8,2,83.9,1,251.65,609,DEV-E6B34,1
TRX-50006,44.0,Beleza,Cartao_Credito,Mobile,532.04,1232.1,2,65.9,5,-136.71,950,DEV-B3BEC,0
TRX-50007,54.9,eletronicos,Pix,Desktop,188.62,797.3,1,167.1,8,-128.73,416,DEV-2B54E,0
TRX-50008,48.5,Games,Cartao_Credito,Mobile,1155.77,1737.1,2,176.0,1,-184.14,833,DEV-E4405,0
TRX-50009,41.9, ELETRONICOS ,Cartao_Credito,Mobile,180.71,1301.5,0,129.8,5,-4.12,618,DEV-2DB94,0
TRX-50010,32.7,Eletronicos,Boleto,Mobile,247.98,827.8,1,9.6,1,-168.3,829,DEV-3C847,0
TRX-50011,32.8, ELETRONICOS ,Pix,Desktop,90.13,1236.6,1,121.7,3,98.13,938,DEV-7A43D,0
TRX-50012,,Vestuario,Boleto,Desktop,449.75,226.7,0,32.0,6,-169.85,736,DEV-975E4,0
TRX-50013,35.7, ELETRONICOS ,Boleto,Desktop,936.25,1706.6,2,67.5,4,-13.77,891,DEV-D45D0,1
TRX-50014,26.1,Vestuario,Pix,Mobile,269.16,1213.2,0,11.4,3,-4.22,803,DEV-EE370,0
TRX-50015,45.9,Beleza,Cartao_Credito,Mobile,667.47,304.1,2,129.8,3,37.33,308,DEV-6D486,1
TRX-50016,34.4,Eletronicos,Pix,Mobile,246.03,614.8,0,364.6,3,-25.31,576,DEV-A85A3,1
TRX-50017,29.4,Vestuario,Voucher,Mobile,105.88,975.1,1,96.5,0,-150.37,812,DEV-E3C2A,0
TRX-50018,47.0,Eletronicos,Pix,Mobile,850.2,338.3,0,100.4,4,-99.25,630,DEV-86220,0
TRX-50019,16.5, ELETRONICOS ,Cartao_Credito,Desktop,688.52,1654.9,1,97.8,2,-134.33,482,DEV-45E42,0
TRX-50020,43.4,Beleza,Cartao_Credito,Mobile,2829.63,589.7,0,131.0,4,6.95,871,DEV-4152B,1
TRX-50021,30.8,eletronicos,Cartao_Credito,Desktop,988.23,1555.2,0,8.1,3,213.77,169,DEV-60D5A,0
TRX-50022,36.8, ELETRONICOS ,Pix,Desktop,625.84,1250.8,0,104.1,2,93.21,503,DEV-D31CD,0
TRX-50023,21.6,Vestuario,Cartao_Credito,Desktop,212.42,1347.7,1,143.8,3,-209.62,206,DEV-62D14,0
TRX-50024,38.8,eletronicos,Cartao_Credito,Mobile,1095.46,297.7,1,8.7,4,-143.04,540,DEV-B82A0,0
TRX-50025,,Beleza,Cartao_Credito,Mobile,845.51,1669.7,1,692.2,5,-53.21,345,DEV-48504,1
TRX-50026,42.5,Games,Boleto,Mobile,,44.2,1,75.0,4,-85.34,799,DEV-658AC,0
TRX-50027,49.4,Eletronicos,Pix,Mobile,1165.85,195.8,1,109.4,4,-142.84,165,DEV-6AF0F,0
TRX-50028,17.2, ELETRONICOS ,Boleto,Desktop,219.37,415.3,1,86.8,1,-111.23,418,DEV-CED9E,0
TRX-50029,36.0,Eletronicos,Cartao_Credito,Mobile,939.96,1384.2,2,78.7,3,-61.41,951,DEV-7909E,0
TRX-50030,38.5,eletronicos,Cartao_Credito,Desktop,470.67,1706.7,2,43.8,9,-25.84,423,DEV-87CA0,0
TRX-50031,41.8,eletronicos,Pix,Desktop,50.54,1121.7,0,267.1,3,-102.29,912,DEV-3979A,0
TRX-50032,30.1,Eletronicos,Cartao_Credito,Mobile,275.05,898.0,0,70.0,2,160.17,711,DEV-41018,0
TRX-50033,37.4,Games,Boleto,Mobile,2094.51,1169.5,1,112.9,5,12.16,636,DEV-24285,1
TRX-50034,42.2,eletronicos,Pix,Mobile,345.66,51.2,1,262.6,1,-85.19,277,DEV-DE284,0
TRX-50035,39.7,Eletronicos,Pix,SmartTV,411.21,42.9,1,237.4,4,222.8,694,DEV-1F2B7,1
TRX-50036,,Vestuario,Pix,Mobile,3288.53,1147.4,0,65.1,1,84.35,169,DEV-584B3,1
TRX-50037,30.7,Eletronicos,Pix,Mobile,652.03,1622.8,0,194.2,5,62.53,163,DEV-435B8,0
TRX-50038,38.4,Beleza,Cartao_Credito,Mobile,1377.04,815.0,0,332.8,4,58.21,329,DEV-7AC7E,0
TRX-50039,28.0,Vestuario,Cartao_Credito,Mobile,810.27,1038.1,1,252.1,4,110.53,152,DEV-23541,0
TRX-50040,37.9,Vestuario,Cartao_Credito,Desktop,155.43,230.8,0,116.7,3,24.76,740,DEV-BF650,1
TRX-50041,34.5,Vestuario,Cartao_Credito,Mobile,821.97,14.7,1,28.6,3,6.31,882,DEV-4714D,1
TRX-50042,37.0,Beleza,Cartao_Credito,Mobile,202.73,813.5,0,207.9,1,156.33,536,DEV-EA0E3,1
TRX-50043,41.9,eletronicos,Cartao_Credito,Mobile,358.43,311.3,1,1.3,7,-386.72,346,DEV-753C4,0
TRX-50044,30.0,Vestuario,Cartao_Credito,Desktop,226.19,327.3,0,180.8,3,183.48,547,DEV-A3E63,0
TRX-50045,45.5,Beleza,Cartao_Credito,Tablet,556.74,1485.7,0,47.7,4,-145.75,123,DEV-6EF78,0
TRX-50046,28.0,Vestuario,Voucher,Mobile,107.77,1553.5,2,708.0,5,-85.39,888,DEV-5C776,0
TRX-50047,24.8,eletronicos,Cartao_Credito,Desktop,349.6,1497.7,0,49.3,5,-36.33,495,DEV-6CC78,0
TRX-50048,32.2,Eletronicos,Cartao_Credito,Mobile,67.88,1140.8,1,67.4,4,-283.11,290,DEV-BA3CB,0
TRX-50049,40.6,Vestuario,Cartao_Credito,Mobile,39.07,1464.8,1,28.6,5,31.82,295,DEV-9A9EC,0
TRX-50050,37.0,Vestuario,Pix,Mobile,547.81,1037.3,1,95.1,3,124.1,571,DEV-2EAD8,0
TRX-50051,24.9,Vestuario,Pix,Desktop,447.85,160.4,0,40.7,3,-50.9,607,DEV-29C2E,0
TRX-50052,30.6,Beleza,Voucher,Tablet,67.38,466.5,0,49.2,4,61.33,454,DEV-98E86,0
TRX-50053,28.8,Beleza,Cartao_Credito,Desktop,632.48,1182.0,1,1.4,3,162.18,828,DEV-BA78A,0
TRX-50054,44.3,Vestuario,Cartao_Credito,Mobile,325.93,952.9,0,27.4,2,12.97,802,DEV-1D532,0
TRX-50055,47.9,Beleza,Cartao_Credito,Desktop,272.87,201.2,0,63.9,3,-111.93,481,DEV-4C550,0
TRX-50056,43.2, ELETRONICOS ,Pix,Mobile,728.27,1783.6,3,19.0,2,-198.48,531,DEV-E0004,0
TRX-50057,37.1,Games,Boleto,Mobile,361.57,1204.6,2,114.0,3,191.71,765,DEV-EEDAB,0
TRX-50058,35.4,Beleza,Cartao_Credito,Mobile,117.03,1103.5,0,378.7,7,-55.13,386,DEV-8403B,0
TRX-50059,50.5,Vestuario,Cartao_Credito,Desktop,665.6,1779.0,0,166.4,1,-181.63,222,DEV-DFD43,0
TRX-50060,42.4,eletronicos,Cartao_Credito,Mobile,340.4,45.9,1,3.0,6,-209.89,569,DEV-1F9E5,0
TRX-50061,, ELETRONICOS ,Boleto,Mobile,212.65,1034.4,0,127.1,4,-58.63,297,DEV-9E5C8,0
TRX-50062,,Beleza,Cartao_Credito,Mobile,159.16,687.0,0,210.0,1,74.85,929,DEV-ADF40,0
TRX-50063,44.0,Beleza,Boleto,Mobile,1459.43,152.7,1,199.7,6,-29.79,858,DEV-EF3CD,0
TRX-50064,41.9,Eletronicos,Cartao_Credito,Desktop,180.73,1691.7,0,9.0,5,23.38,285,DEV-63C3C,0
TRX-50065,34.3,Vestuario,Cartao_Credito,Mobile,793.64,650.9,0,108.5,3,13.48,758,DEV-BF18E,0
TRX-50066,34.0,Vestuario,Cartao_Credito,Mobile,150.68,1020.6,0,8.5,5,-128.24,874,DEV-F2415,0
TRX-50067,19.1, ELETRONICOS ,Pix,Mobile,192.41,405.0,1,155.1,3,97.45,831,DEV-C79BF,0
TRX-50068,,eletronicos,Cartao_Credito,Desktop,332.67,987.3,0,118.5,3,26.71,493,DEV-D0069,1
TRX-50069,50.2,Vestuario,Cartao_Credito,Desktop,792.05,1508.3,1,113.0,1,74.47,109,DEV-653E9,1
TRX-50070,24.4,Eletronicos,Boleto,Mobile,692.97,179.1,1,197.7,7,281.86,590,DEV-CB393,0
TRX-50071,19.2,Eletronicos,Cartao_Credito,Mobile,309.68,940.1,0,408.7,5,-16.31,536,DEV-C8576,1
